Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
29.300, 9630.410
29.400, 9646.490
29.500, 9662.590
29.600, 9678.710
29.700, 9694.850
29.800, 9711.000
29.900, 9727.170
30.000, 9743.360
30.100, 9759.570
30.200, 9775.790
30.300, 9792.030
30.400, 9808.280
30.500, 9824.560
30.600, 9840.850
30.700, 9857.150
30.800, 9873.480
30.900, 9889.820
31.000, 9906.180
31.100, 9922.550
31.200, 9938.950
31.300, 9955.360
31.400, 9971.780
31.500, 9988.230
31.600,10004.690
31.700,10021.170
31.800,10037.660
31.900,10054.180
32.000,10070.710
32.100,10087.250
32.200,10103.820
32.300,10120.400
32.400,10137.000
32.500,10153.610
32.600,10170.250
32.700,10186.900
32.800,10203.570
32.900,10220.250
33.000,10236.950
33.100,10253.670
33.200,10270.410
33.300,10287.160
33.400,10303.930
33.500,10320.720
33.600,10337.520
33.700,10354.350
33.800,10371.190
33.900,10388.040
34.000,10404.920
34.100,10421.810
34.200,10438.720
34.300,10455.640
34.400,10472.590
34.500,10489.550
34.600,10506.520
34.700,10523.520
34.800,10540.530
34.900,10557.560
35.000,10574.610
35.100,10591.670
35.200,10608.750
35.300,10625.850
35.400,10642.970
35.500,10660.100
35.600,10677.250
35.700,10694.420
35.800,10711.610
35.900,10728.810
36.000,10746.030
36.100,10763.270
36.200,10780.520
36.300,10797.790
36.400,10815.080
36.500,10832.390
36.600,10849.710
36.700,10867.050
36.800,10884.410
36.900,10901.790
37.000,10919.180
37.100,10936.590
37.200,10954.020
37.300,10971.470
37.400,10988.930
37.500,11006.410
37.600,11023.910
37.700,11041.430
37.800,11058.960
37.900,11076.510
38.000,11094.080
38.100,11111.660
38.200,11129.260
38.300,11146.880
38.400,11164.520
38.500,11182.180
38.600,11199.850
38.700,11217.540
38.800,11235.240
38.900,11252.970
39.000,11270.710
39.100,11288.470
39.200,11306.250
39.300,11324.040
39.400,11341.850
39.500,11359.680
39.600,11377.530
39.700,11395.390
39.800,11413.280
39.900,11431.180
40.000,11449.090
40.100,11467.030
40.200,11484.980
40.300,11502.950
40.400,11520.940
40.500,11538.940
40.600,11556.960
40.700,11575.000
40.800,11593.060
40.900,11611.130
41.000,11629.220
41.100,11647.330
41.200,11665.460
41.300,11683.610
41.400,11701.770
41.500,11719.950
41.600,11738.150
41.700,11756.360
41.800,11774.590
41.900,11792.840
42.000,11811.110
42.100,11829.400
42.200,11847.700
42.300,11866.020
42.400,11884.360
42.500,11902.710
42.600,11921.090
42.700,11939.480
42.800,11957.890
42.900,11976.310
43.000,11994.760
43.100,12013.220
43.200,12031.700
43.300,12050.190
43.400,12068.710
43.500,12087.240
43.600,12105.790
43.700,12124.360
43.800,12142.940
43.900,12161.540
44.000,12180.160
44.100,12198.800
44.200,12217.460
44.300,12236.130
44.400,12254.820
44.500,12273.530
44.600,12292.250
44.700,12311.000
44.800,12329.760
44.900,12348.540
45.000,12367.330
45.100,12386.150
45.200,12404.980
45.300,12423.830
45.400,12442.700
45.500,12461.580
45.600,12480.490
45.700,12499.410
45.800,12518.350
45.900,12537.300
46.000,12556.280
46.100,12575.270
46.200,12594.280
46.300,12613.300
46.400,12632.350
46.500,12651.410
46.600,12670.490
46.700,12689.590
46.800,12708.700
46.900,12727.840
47.000,12746.990
47.100,12766.160
47.200,12785.340
47.300,12804.550
47.400,12823.770
47.500,12843.010
47.600,12862.270
47.700,12881.540
47.800,12900.840
47.900,12920.150
48.000,12939.480
48.100,12958.820
48.200,12978.190
48.300,12997.570
48.400,13016.970
48.500,13036.390
48.600,13055.820
48.700,13075.280
48.800,13094.750
48.900,13114.240
49.000,13133.750
49.100,13153.270
49.200,13172.810
49.300,13192.370
49.400,13211.950
49.500,13231.550
49.600,13251.160
49.700,13270.790
49.800,13290.440
49.900,13310.110
50.000,13329.800
50.100,13349.500
50.200,13369.220
